key,energy,liveliness,tempo,speechiness,acousticness,instrumentalness,time_signature,duration,loudness,valence,danceability,mode,time_signature_confidence,tempo_confidence,key_confidence,mode_confidence,moods,genres
9.0,0.7619969999999999,0.059354,145.096,0.037688,0.019778,4e-06,1.0,4.0,225.33333,-5.77,0.254739,0.473159,0.256,0.382,0.494,1.0,"energetic,motivational",rock
4.0,0.7155119999999999,0.171076,94.857,0.135359,0.37858,0.229766,0.0,4.0,35.14667,-7.857,0.476651,0.8311069999999999,0.004,0.094,0.76,1.0,"funky,cold,cocky",rap
11.0,0.666137,0.131539,160.008,0.041572,0.19719799999999998,0.002869,0.0,4.0,307.92,-11.225,0.709015,0.585953,0.303,0.485,0.419,0.986,sprightly,rock
4.0,0.957024,0.428782,172.99,0.053981999999999995,0.249111,0.7537349999999999,1.0,4.0,131.55751,-1.775,0.30179,0.153397,0.798,0.523,0.134,1.0,"sprightly,raw",rock
4.0,0.9268109999999999,0.614536,123.001,0.154522,0.022,7e-06,1.0,4.0,236.17016,-4.211,0.756177,0.838672,0.455,0.326,0.761,1.0,nocturnal,dance
0.0,0.859888,0.059404,153.038,0.11169699999999999,0.35959399999999997,4.9000000000000005e-05,0.0,4.0,232.12635,-4.458,0.079846,0.266909,0.149,0.495,0.151,0.961,"seductive,nocturnal,lush",dance
9.0,0.8999469999999999,0.31468599999999997,130.988,0.027974,0.008605999999999999,0.48100099999999996,1.0,4.0,297.04,-6.416,0.773292,0.738409,0.492,0.399,0.9500000000000001,1.0,"funky,energetic",dance
0.0,0.493745,0.11481799999999999,121.42,0.045706,0.72984,0.824971,1.0,4.0,328.29333,-12.473,0.48675,0.465725,0.673,0.5670000000000001,0.45,0.936,"funky,warm",jazz
9.0,0.10341099999999999,0.15761,83.379,0.039855999999999996,0.291695,0.8453419999999999,0.0,4.0,176.24771,-23.802,0.041032,0.154446,0.0,0.0,0.248,0.845,"gloomy,angsty",rock
0.0,0.47042199999999995,0.27330099999999996,127.149,0.061550999999999995,0.28199599999999997,0.053807999999999995,1.0,4.0,445.06667,-15.158,0.899887,0.840495,0.917,0.752,0.91,1.0,energetic,dance
5.0,0.658855,0.104775,94.682,0.145671,0.01077,0.019398,0.0,4.0,199.65333,-5.536,0.702773,0.774175,0.07,0.309,0.772,1.0,lush,rap
1.0,0.703985,0.10653299999999999,174.0,0.29695699999999997,0.0037500000000000003,0.0,1.0,4.0,253.82612,-6.55,0.611159,0.7842709999999999,0.6000000000000001,0.41200000000000003,0.067,1.0,cocky,rap
6.0,0.7856179999999999,0.15115399999999998,111.146,0.305547,0.027424999999999998,0.0,0.0,5.0,214.62667,-4.629,0.638002,0.45694,0.28700000000000003,0.557,0.058,0.781,"cocky,celebratory,rowdy",rap
9.0,0.7046589999999999,0.40609599999999996,89.543,0.115934,0.907064,0.925429,1.0,3.0,94.0,-16.605,0.297879,0.246641,0.461,0.434,0.1,0.07,"aggressive,motivational",rock
11.0,0.214113,0.33017199999999997,134.353,0.034582,0.8872009999999999,0.964564,0.0,4.0,141.2,-15.604,0.280414,0.507108,0.755,0.673,0.46900000000000003,1.0,"earthy,atmospheric,trippy,raw",rock
7.0,0.337479,0.071035,116.68,0.11322000000000002,0.289103,0.406085,1.0,4.0,379.71546,-19.059,0.893405,0.897003,0.687,0.622,0.87,0.632,"celebratory,campy,lush",dance
11.0,0.9728129999999999,0.082478,129.992,0.143068,0.00039299999999999996,0.48567499999999997,1.0,4.0,269.61333,-2.714,0.561717,0.694147,0.632,0.658,0.795,1.0,"visceral,motivational",dance
9.0,0.8826339999999999,0.051254,128.009,0.095452,0.068461,0.854532,0.0,4.0,301.33333,-5.617,0.19314,0.631899,0.652,0.492,0.8170000000000001,0.9540000000000001,"visceral,motivational",dance
6.0,0.9199039999999999,0.090546,128.011,0.045583,0.00014199999999999998,0.822928,1.0,4.0,439.57333,-6.426,0.938747,0.7503409999999999,0.354,0.34,0.874,1.0,"energetic,visceral,motivational",dance
1.0,0.537292,0.017485999999999998,86.542,0.27296899999999996,0.019589,0.0,1.0,4.0,134.6,-8.223,0.606885,0.749371,0.337,0.11,0.064,1.0,motivational,rap
5.0,0.18473199999999998,0.129414,100.948,0.030042,0.898739,0.9174629999999999,0.0,4.0,416.16,-22.15,0.205953,0.550616,0.458,0.509,0.534,1.0,"seductive,sad,classy,nocturnal,mellow",jazz
9.0,0.812955,0.211916,96.02,0.049047,0.032029,0.8669279999999999,1.0,4.0,188.72,-11.039,0.9183209999999999,0.507787,0.85,0.63,0.394,1.0,"funky,warm",jazz
3.0,0.7308049999999999,0.063068,154.609,0.033775,0.000325,0.0,0.0,4.0,267.24,-4.992,0.337098,0.365013,0.752,0.61,0.47800000000000004,0.974,aggressive,rock
1.0,0.662674,0.543908,88.064,0.12914499999999998,0.019548,0.0,1.0,5.0,276.64,-6.196,0.131959,0.474184,0.84,0.651,0.197,0.922,visceral,rap
6.0,0.866016,0.353209,129.87,0.058158999999999995,9.400000000000001e-05,0.655903,0.0,4.0,164.4,-8.286,0.152201,0.686611,0.11800000000000001,0.261,0.885,1.0,"funky,energetic",dance
11.0,0.48675599999999997,0.082412,128.57,0.037598,0.025051,0.225095,0.0,4.0,444.12336,-8.814,0.41648199999999996,0.8314300000000001,0.638,0.539,0.81,1.0,energetic,dance
2.0,0.7337929999999999,0.17329899999999998,96.614,0.093335,0.07972499999999999,0.046883,1.0,4.0,254.06766,-8.917,0.5761229999999999,0.381067,0.321,0.402,0.343,0.788,trippy,rock
11.0,0.993988,0.30572000000000005,133.992,0.060249,0.000526,0.0038959999999999997,0.0,4.0,285.05333,-2.563,0.463792,0.517609,0.114,0.424,0.806,1.0,"energetic,cold,visceral",dance
0.0,0.711387,0.244104,96.035,0.289167,0.019736999999999998,2e-06,1.0,4.0,220.56,-9.901,0.5466409999999999,0.792314,0.47400000000000003,0.721,0.652,1.0,funky,rap
10.0,0.498745,0.11220899999999999,127.0,0.078749,0.086312,0.07362199999999999,0.0,4.0,304.11959,-9.524000000000001,0.471074,0.83733,0.0,0.029,0.933,1.0,"energetic,cold,visceral,nocturnal",dance
7.0,0.5351119999999999,0.121804,135.549,0.038512,0.399279,0.000283,1.0,4.0,178.90667,-9.665,0.599955,0.7112029999999999,0.65,0.443,0.675,1.0,trippy,rock
9.0,0.286595,0.102147,110.859,0.039914,0.8043359999999999,0.044933,1.0,5.0,183.96426,-16.628,0.474371,0.535849,0.0,0.24,0.833,0.47000000000000003,"soothing,classy,nocturnal,lush",jazz
2.0,0.9907900000000001,0.298432,177.675,0.150799,0.003939,0.099799,1.0,4.0,124.83048,-0.022,0.422046,0.082942,0.8250000000000001,0.617,0.051000000000000004,1.0,"angsty,aggressive,trashy,raw",rock
7.0,0.896269,0.07090099999999999,127.97,0.28500000000000003,0.008067999999999999,0.306125,1.0,4.0,315.0,-8.919,0.374505,0.902238,0.005,0.263,0.8150000000000001,1.0,energetic,dance
5.0,0.163798,0.143923,121.459,0.051771,0.8559869999999999,0.708622,1.0,4.0,140.2,-16.146,0.266057,0.535749,0.0,0.20400000000000001,0.07100000000000001,0.9500000000000001,"classy,sad,mellow",jazz
6.0,0.048303,0.095369,102.455,0.033431999999999996,0.986703,0.876087,0.0,4.0,388.28,-19.196,0.07002,0.41523899999999997,0.34900000000000003,0.387,0.053,0.998,mellow,jazz
8.0,0.33741699999999997,0.085377,83.478,0.141642,0.621992,0.0,1.0,4.0,126.87383,-14.345,0.756141,0.431347,0.35100000000000003,0.555,0.251,0.34500000000000003,"classy,seductive,mellow,lush",jazz
3.0,0.29576,0.12667899999999999,111.634,0.032104,0.927681,0.0,1.0,4.0,194.05333,-11.019,0.748394,0.714254,0.48,0.41000000000000003,0.711,0.856,sprightly,rock
1.0,0.683327,0.38196,106.67,0.046387,0.642189,0.290423,0.0,4.0,460.77333,-7.463,0.075684,0.261047,0.076,0.41400000000000003,0.468,0.729,"cold,atmospheric",rock
7.0,0.711939,0.083877,133.488,0.054424,0.656292,0.575645,0.0,4.0,405.33333,-10.498,0.882551,0.527311,0.274,0.438,0.242,0.889,classy,jazz
0.0,0.8568629999999999,0.36394499999999996,80.025,0.346697,0.18759,0.0,1.0,4.0,284.16,-4.624,0.517521,0.7492639999999999,0.456,0.552,0.217,1.0,"cocky,aggressive,rowdy",rap
6.0,0.8215239999999999,0.045038999999999996,115.867,0.054429,0.000509,0.017400000000000002,0.0,4.0,163.2,-9.076,0.8232800000000001,0.675191,0.5660000000000001,0.438,0.844,1.0,aggressive,rock
0.0,0.927843,0.454806,82.464,0.213717,0.367751,0.0,0.0,4.0,222.69329,-4.483,0.846599,0.501875,0.5740000000000001,0.62,0.242,0.983,lush,rap
2.0,0.21027099999999999,0.067672,81.689,0.058176,0.992138,0.928099,0.0,4.0,225.26667,-12.143,0.050289,0.512824,0.421,0.301,0.065,0.863,soothing,jazz
6.0,0.9946879999999999,0.163709,139.991,0.061548,0.000856,0.668137,0.0,4.0,253.88036,-7.386,0.5639700000000001,0.619922,0.12,0.273,0.634,0.986,"energetic,cold,visceral",dance
4.0,0.5257769999999999,0.10414599999999999,121.352,0.033056999999999996,0.771292,0.960955,0.0,4.0,329.36,-13.479,0.26304099999999997,0.346184,0.221,0.312,0.596,0.468,"funky,classy,nocturnal",rap
7.0,0.48438899999999996,0.062022999999999995,173.848,0.055005,0.837954,0.5857249999999999,0.0,4.0,184.53333,-7.54,0.8254889999999999,0.458534,0.258,0.445,0.33,0.677,sprightly,jazz
1.0,0.6397579999999999,0.07244099999999999,99.351,0.328656,0.008376,6e-06,0.0,4.0,195.42667,-6.182,0.674157,0.768976,0.323,0.353,0.292,1.0,"cocky,visceral,motivational",rap
1.0,0.24695899999999998,0.6594209999999999,133.54,0.062368,0.883351,0.030492,1.0,4.0,412.66667,-18.094,0.13125299999999998,0.526264,0.056,0.2,0.481,0.7020000000000001,"seductive,sad,classy,nocturnal,mellow",jazz
7.0,0.609596,0.08527699999999999,103.456,0.0755,0.782438,0.002141,0.0,3.0,161.62667,-5.402,0.833673,0.5625629999999999,0.0,0.098,0.644,0.658,sprightly,rock
0.0,0.891879,0.064577,119.833,0.048394,0.00040199999999999996,0.690097,1.0,4.0,239.26667,-5.96,0.159351,0.7086819999999999,0.6960000000000001,0.5640000000000001,0.804,1.0,"funky,energetic",dance
0.0,0.78093,0.11017199999999999,155.731,0.134104,0.014717,0.0021349999999999997,1.0,4.0,185.70667,-3.842,0.754844,0.455376,0.636,0.538,0.099,0.778,"energetic,visceral",dance
7.0,0.45279,0.07399399999999999,150.672,0.031377999999999996,0.60089,0.422688,1.0,4.0,170.0,-10.978,0.547233,0.5614669999999999,0.62,0.47700000000000004,0.099,0.922,mellow,jazz
1.0,0.48178699999999997,0.14313099999999998,110.083,0.33166799999999996,0.003957,0.0,0.0,5.0,313.8,-12.239,0.282692,0.570897,0.664,0.589,0.049,1.0,"trashy,sexual",rap
6.0,0.7290519999999999,0.141261,89.82,0.038417,0.776555,1e-05,0.0,4.0,227.0,-5.957,0.754439,0.43853000000000003,0.359,0.47500000000000003,0.043000000000000003,1.0,"energetic,rowdy",dance
4.0,0.244004,0.33666799999999997,78.728,0.035096999999999996,0.884838,0.000185,0.0,4.0,106.62667,-15.296,0.230742,0.23530199999999998,0.161,0.391,0.069,0.493,"classy,lush",jazz
4.0,0.550476,0.090227,209.297,0.058790999999999996,0.659284,0.0,1.0,3.0,144.9854,-11.316,0.9778209999999999,0.440355,0.07100000000000001,0.17500000000000002,0.083,1.0,"happy,sprightly",jazz
5.0,0.34404599999999996,0.812971,123.676,0.036999,0.809299,0.0031079999999999997,1.0,4.0,174.47184,-13.978,0.963988,0.751307,0.4,0.465,0.916,1.0,"happy,sprightly",jazz
5.0,0.32897000000000004,0.090362,82.026,0.037024,0.820549,2.7000000000000002e-05,0.0,4.0,240.1698,-11.103,0.102938,0.611425,0.41600000000000004,0.485,0.0,0.9480000000000001,"soothing,mellow",rap
1.0,0.849321,0.29082399999999997,94.726,0.324217,0.032783,0.011434999999999999,0.0,4.0,218.37333,-6.102,0.572171,0.7944289999999999,0.199,0.322,0.532,1.0,"cocky,aggressive",rap
6.0,0.7336769999999999,0.124346,100.016,0.24809599999999998,0.049558,0.0,0.0,4.0,253.82667,-7.348,0.839051,0.8431529999999999,0.754,0.481,0.84,1.0,motivational,rap
4.0,0.801159,0.126664,82.488,0.045396,0.012889,0.891876,0.0,4.0,317.93333,-11.104,0.43948000000000004,0.479942,0.503,0.488,0.139,0.538,"energetic,cold",dance
10.0,0.323662,0.085254,156.051,0.039346,0.301522,0.178857,1.0,3.0,403.82667,-13.153,0.052704999999999995,0.20097399999999999,0.165,0.22,0.005,0.914,"trippy,lush",jazz
9.0,0.9049649999999999,0.598066,103.391,0.051516,8e-06,0.737761,1.0,3.0,230.53333,-7.535,0.312556,0.46679499999999996,0.19,0.319,0.838,0.9580000000000001,"energetic,motivational",rock
2.0,0.694151,0.06877799999999999,127.999,0.120101,0.00041799999999999997,0.0018319999999999999,1.0,4.0,299.99955,-7.995,0.485541,0.7135549999999999,0.187,0.372,0.875,0.738,"visceral,aggressive,rowdy",dance
7.0,0.460557,0.095008,135.476,0.033089,0.513029,0.0,1.0,4.0,172.67955,-11.371,0.647235,0.621319,0.808,0.686,0.805,0.686,mellow,rock
11.0,0.847486,0.664489,141.972,0.065137,0.0013239999999999999,0.0,0.0,4.0,267.17333,-2.778,0.6380669999999999,0.709098,0.512,0.502,0.81,0.931,"cocky,visceral",rap
2.0,0.785087,0.312588,96.363,0.031844,0.025825999999999998,0.6044579999999999,1.0,4.0,362.22667,-7.345,0.631497,0.282491,0.432,0.456,0.23600000000000002,1.0,"trippy,lush",jazz
0.0,0.584818,0.078995,181.269,0.037349,0.64712,0.0030889999999999997,1.0,4.0,442.8,-8.936,0.7167800000000001,0.465035,1.0,1.0,0.035,1.0,"funky,warm",jazz
7.0,0.780679,0.868068,125.019,0.044253,0.001441,0.0,0.0,4.0,232.86667,-3.787,0.27613499999999996,0.526269,0.626,0.593,0.62,0.842,celebratory,dance
6.0,0.8109759999999999,0.064914,117.999,0.21859099999999998,0.03282,0.000517,0.0,4.0,223.98667,-7.503,0.77968,0.711382,0.549,0.579,0.684,1.0,"cocky,rowdy",dance
